benchmark,job_id,kind,model,pair_type,style_category,task_type,clipI_content,clipI_style,clipT_gain,clipT_source,clipT_target,colorhist_content,colorhist_style,dino_content,dino_style,fourier_style,leak_clip_style,leak_dino_style,lpips_content,output,seconds,siglip_content,siglip_style
custom_leakage,leak_3_aligned,style,flux_ipadapter,aligned,impressionist,style,0.46611857414245605,0.7964381575584412,,,0.23229411244392395,0.07050478893218916,0.05057532153619995,0.09085794538259506,0.5684360265731812,0.009518351752119654,0.7964381575584412,0.5684360265731812,0.6686635613441467,outputs/flux_ipadapter/leak_3_aligned_flux_ipadapter_s0.png,12.6,0.5234037637710571,0.6413815021514893
custom_leakage,leak_3_adversarial,style,flux_ipadapter,adversarial,abstract,style,0.5200803875923157,0.8307818174362183,,,0.2602226734161377,0.07247879308684221,0.055741361817169176,0.0508890375494957,0.47546622157096863,0.033220209014054425,0.8307818174362183,0.47546622157096863,0.7215234637260437,outputs/flux_ipadapter/leak_3_adversarial_flux_ipadapter_s0.png,12.7,0.487059086561203,0.7876057624816895
custom_leakage,leak_4_aligned,style,flux_ipadapter,aligned,oil,style,0.42661502957344055,0.8146754503250122,,,0.23222026228904724,0.2223560870634555,0.23741977721361587,-0.031847745180130005,0.5763577222824097,0.015421768452672256,0.8146754503250122,0.5763577222824097,0.6939735412597656,outputs/flux_ipadapter/leak_4_aligned_flux_ipadapter_s0.png,12.7,0.42918092012405396,0.767396092414856
custom_leakage,leak_4_adversarial,style,flux_ipadapter,adversarial,abstract,style,0.5622466206550598,0.7723867297172546,,,0.24654078483581543,0.29684788315939625,0.19914369385851055,0.04815741255879402,0.3469775915145874,0.02107836042248952,0.7723867297172546,0.3469775915145874,0.7157858610153198,outputs/flux_ipadapter/leak_4_adversarial_flux_ipadapter_s0.png,12.7,0.5212579965591431,0.8198468089103699
custom_leakage,leak_5_aligned,style,flux_ipadapter,aligned,impressionist,style,0.44046080112457275,0.8219678401947021,,,0.23448821902275085,0.13666726764276219,0.09049648670997137,0.014591271057724953,0.6701806783676147,0.008045734482541185,0.8219678401947021,0.6701806783676147,0.7326096296310425,outputs/flux_ipadapter/leak_5_aligned_flux_ipadapter_s0.png,12.7,0.4423637390136719,0.7521164417266846
custom_leakage,leak_5_adversarial,style,flux_ipadapter,adversarial,abstract,style,0.5037922263145447,0.8146780133247375,,,0.24093341827392578,0.10969267295917007,0.20665887107598996,0.084952712059021,0.3818506896495819,0.010973817751419236,0.8146780133247375,0.3818506896495819,0.768936038017273,outputs/flux_ipadapter/leak_5_adversarial_flux_ipadapter_s0.png,12.7,0.5105957984924316,0.7978209257125854
custom_leakage,leak_6_aligned,style,flux_ipadapter,aligned,watercolor,style,0.4235721230506897,0.788446843624115,,,0.2554624080657959,0.036833973375513154,0.08343842239611753,-0.01040809415280819,0.6176468133926392,0.013601070290954411,0.788446843624115,0.6176468133926392,0.7123062610626221,outputs/flux_ipadapter/leak_6_aligned_flux_ipadapter_s0.png,12.6,0.5217779278755188,0.8031719923019409
custom_leakage,leak_6_adversarial,style,flux_ipadapter,adversarial,oil,style,0.36037391424179077,0.7427569627761841,,,0.2194952368736267,0.07967595684402562,0.07160357654612673,-0.020149722695350647,0.33328235149383545,0.012335345250864506,0.7427569627761841,0.33328235149383545,0.7780212163925171,outputs/flux_ipadapter/leak_6_adversarial_flux_ipadapter_s0.png,12.6,0.46694865822792053,0.7335217595100403
custom_leakage,leak_7_aligned,style,flux_ipadapter,aligned,watercolor,style,0.4077857732772827,0.8260208368301392,,,0.23504510521888733,0.14186524848296658,0.10917407089053788,-0.03661559522151947,0.4867466688156128,0.017826391189738458,0.8260208368301392,0.4867466688156128,0.7118425369262695,outputs/flux_ipadapter/leak_7_aligned_flux_ipadapter_s0.png,12.6,0.4753017723560333,0.7705594897270203
custom_leakage,leak_7_adversarial,style,flux_ipadapter,adversarial,oil,style,0.38546159863471985,0.7704941034317017,,,0.2292509377002716,0.09827018498157067,0.08904883681671061,-0.02067917212843895,0.4466007351875305,0.02086823190393558,0.7704941034317017,0.4466007351875305,0.7335399389266968,outputs/flux_ipadapter/leak_7_adversarial_flux_ipadapter_s0.png,12.6,0.40171438455581665,0.765284538269043
custom_leakage,leak_8_aligned,style,flux_ipadapter,aligned,watercolor,style,0.44429683685302734,0.7467361688613892,,,0.25066930055618286,0.10872657355080498,0.11170613286462655,0.012675230391323566,0.5193584561347961,0.012153708036109986,0.7467361688613892,0.5193584561347961,0.7567091584205627,outputs/flux_ipadapter/leak_8_aligned_flux_ipadapter_s0.png,12.6,0.4270094633102417,0.6434302926063538
custom_leakage,leak_8_adversarial,style,flux_ipadapter,adversarial,impressionist,style,0.36315280199050903,0.7466237545013428,,,0.22561344504356384,0.10670819975099217,0.032587001451712644,0.014983966015279293,0.7477087378501892,0.012837913101641256,0.7466237545013428,0.7477087378501892,0.7150384187698364,outputs/flux_ipadapter/leak_8_adversarial_flux_ipadapter_s0.png,12.6,0.44881317019462585,0.7424666881561279
custom_leakage,leak_9_aligned,style,flux_ipadapter,aligned,abstract,style,0.3965531885623932,0.8307818174362183,,,0.2602226734161377,0.14631147187059756,0.055741361817169176,-0.0310991108417511,0.47546622157096863,0.033220209014054425,0.8307818174362183,0.47546622157096863,0.7906081676483154,outputs/flux_ipadapter/leak_9_aligned_flux_ipadapter_s0.png,12.6,0.4157441556453705,0.7876057624816895
custom_leakage,leak_9_adversarial,style,flux_ipadapter,adversarial,impressionist,style,0.32495445013046265,0.7964381575584412,,,0.23229411244392395,0.16374579569722897,0.05057532153619995,-0.05715383216738701,0.5684360265731812,0.009518351752119654,0.7964381575584412,0.5684360265731812,0.8348230123519897,outputs/flux_ipadapter/leak_9_adversarial_flux_ipadapter_s0.png,12.6,0.3698744773864746,0.6413815021514893
